S,R,O
retriever,is a,dog with gentle disposition
garbage can,has property,empty citywide
apartment house,is a,place where many person live
pot,has a,flower
television studio,has a,audience
quiet activity,is a,read
criminal,capable of,case convenience store
go public,has prequisite,tell everyone you know
moviegoer,capable of,experience fear
stinky person,capable of,be pass gas
something,at location,overhead compartment
catch mumps,has prequisite,kiss someone else with mumps
listen,has prequisite,stop talk and pay attention
something,at location,end of driveway
greeter,capable of,welcome patron
someone,capable of,exsanguinate
human,capable of,train dog not to urinate indoors
professional basketball player,capable of,father many child
dog,capable of,eat peanut butter
fact bicycle pump,receives action,illustrate with story:1
doctor,capable of,make mistake too
dog,capable of,stand on it hindlegs
monkey,capable of,hang from tree
lizard,at location,your backyard
ben still,capable of,milk cat
deliveryman,capable of,bring package
bird,capable of,be head south for winter
clerk,capable of,enter data
soldier,capable of,battle day or night
be nurse,is a,profession
physical drive,receives action,determine by physical need
emotional drive,receives action,drive by mind
one emotional drive,defined as,love of child
because hunger,is a,powerful physical drive
person,not desires,cause someone else pain
make person laugh,has subevent,you feel good
urinate,motivated by goal,you have to
lemur,desires,play
but think,capable of,make you excite too
express yourself,causes,person will understand you
aquiring someone else credit card,has property,wrong
person,capable of,even odds
you should learn that theft,has property,wrong from your upbringing
run twenty six mile,has subevent,you get tire
actor,capable of,cake on make-up
urinate,motivated by goal,they have to
diet food,has property,more expensive then their counterpart
exercise,has property,good for body and mind
fight inflation,motivated by goal,healthy economy more fiancial control
go to mall,has prequisite,get out of house
salt,used for,put on chip
salt,used for,melt ice on road
often,has a,thatch roof
surf web,has subevent,poop
plane in hanger,has a,person wave bye in
look,is a,cheap than buy
wage war,has prequisite,poop
set cup on table,has subevent,bend over
tax,is a,go up
carton,receives action,make out of paper
magic mushroom,has property,good after wine
prepare for vote,has prequisite,poop
person,not desires,live in unite state
paint,motivated by goal,change color in your home
eat vegetable,has subevent,have dinner
money problem,causes desire,please your parent
groom,causes,get some
skate,motivated by goal,show off
paint house,causes,have to move furniture
express yourself,has subevent,impress others
i trip to india,causes desire,cook curry
bazaar,at location,aisa
read book,has subevent,drink
beautiful girl,causes desire,maintain good health
eat healthily,has subevent,feel good
sew,has subevent,sing
ozzy osbourne,causes desire,hear crowd go mad
surf,motivated by goal,impress girl
big problem,causes desire,die
go to europe,causes desire,see art
go for haircut,causes,bad luck
lose consciousness,has subevent,fall to grind
go public,has subevent,tell person about something
institute civil action,has prequisite,time and money
fast food restaurant counter,at location,any country
read news,causes,fear
get some physical activity,causes,get tire
awake,causes,have hangover
go to beach,causes desire,surf
something,at location,quebec
prove your physical endurance,has subevent,heart attack
paint picture,has subevent,screw up badly
view film at home,causes,masturbate
go to work,has subevent,depression
hear news,has subevent,change channel
bazaar,at location,asia
laugh at joke,causes,everyone to look to him
sexy tenniswomen,causes desire,play tennis
dive,has subevent,receive yellow card
hang out at bar,causes,meet person
restore old house,causes desire,paint
play card,causes,win game
someone,capable of,this
wash clothe,causes,waste some valuable time
prepare for vote,has subevent,bribery
someone,at location,border
use computer,has subevent,e-rage
go to sport event,causes,get drunk
look through telescope,causes,discover universe
drive to work require to,has a,car to drive
remember something,has subevent,do something
paint,has subevent,take break
money,causes desire,create art
stay in bed,motivated by goal,have sex again
something,at location,planet
judge someone,has subevent,to
eat lunch,motivated by goal,calm someone hunger
chop firewood,causes,injury
go to bed require to,has a,bed
ride bicycle,has subevent,get somewhere
something,capable of,smoke joint
own computer,causes desire,chat with friend
you,capable of,dive into pool
meet girl,has subevent,you might fall in love
buy food,has prequisite,money and store
fake fur,is a,good option
agree with someone,has prequisite,mutural understand
you,capable of,borrow sugar from your neighbor
lapland,receives action,spread over 4 different country
play piano,has prequisite,pasion
dance samba,motivated by goal,file well
ssome men,desires,play frisbee
person,not desires,be dupe
something,at location,forefront
take car for drive,used for,enjoy view
in general store person,capable of,find many different item for sale
something,at location,cut edge
school,is a,one place where person learn
start flame or fire,motivated by goal,you need light warmth or both
person,desires,have last friendship
most person,desires,laugh
campsite,defined as,where person camp
cup hold liquid and liquid,has property,hot
judge,capable of,decide sentence
take car for drive,used for,clear muffler of humidity
some men,desires,play frisbee
take car for drive,used for,charge battery
take car for drive,used for,go someplace
gopher,capable of,dig tunnel
visa credit card bill,has a,be pay every month
someone,at location,have fit
something,at location,waterfront
mold,has property,useful
repairer,capable of,oil hinge with oilcan
keep thing orderly and tidy,has prequisite,have thing
go to school,has prequisite,pay your fee
forgive someone,has prequisite,first be forgive
play soccer,has prequisite,learn to run
examine thing,has prequisite,go to fbi
go to restaurant,has prequisite,have money
hang out at bar,has prequisite,be nice to person
someone who cannot see,has property,blind
if you cut your finger it,capable of,bleed
surf,has prequisite,have good sense of balance
not all station wagon,has property,red
not all music,is a,folk music
some trash,receives action,reuse
not all house,has a,den
object,has property,solid
not everyone who play hockey,is a,name connie
not all geometric pattern,is a,art deco
open business,has prequisite,get bank loan
basketball,receives action,invent by canadian
not all mammal,is a,dog and rabbit
evergreen tree,not capable of,lose their leave in autumn
some line,is a,long some be short
write,has prequisite,just go ahead and do it
not all person who,is a,injure can heal
not all city,has a,county highway between them
some bicycle,receives action,steal
cash in,has prequisite,go to wicket
hemishere,has property,one half of sphere
ice cream,has property,high in calorie
not all trial,receives action,decide by jury
